"datum"~"aantal"~"fruitsoort"~"lat"~"lon"
"4"~2015-08-01~0~"druif"~52.3483149~5.2175626
"18"~2015-07-16~0~"druif"~52.1986084~6.0072106
"19"~2015-07-01~0~"druif"~52.1986084~6.0072106
"24"~2015-08-01~0~"druif"~52.1986084~6.0072106
"35"~2015-07-01~0~"druif"~51.4141309~3.8212603
"36"~2015-08-01~0~"druif"~51.4141309~3.8212603
"38"~2015-07-16~0~"druif"~51.4141309~3.8212603
"43"~2015-07-01~3~"druif"~52.1132072~6.2271032
"46"~2015-09-16~61~"druif"~52.1132072~6.2271032
"56"~2015-07-01~0~"druif"~51.4951395~6.0910852
"65"~2015-09-16~42~"druif"~51.6108427~5.1446337
"68"~2015-09-01~8~"druif"~51.6108427~5.1446337
"69"~2015-10-16~37~"druif"~51.6108427~5.1446337
"72"~2015-10-01~47~"druif"~51.6108427~5.1446337
"73"~2015-07-01~3~"druif"~51.9114893~4.9166851
"74"~2015-08-16~0~"druif"~51.9114893~4.9166851
"77"~2015-09-01~0~"druif"~51.9114893~4.9166851
"78"~2015-10-01~2~"druif"~51.9114893~4.9166851
"79"~2015-08-01~2~"druif"~51.9114893~4.9166851
"81"~2015-07-01~0~"druif"~52.1427496~6.1239489
"82"~2015-09-16~91~"druif"~52.1427496~6.1239489
"83"~2015-07-16~0~"druif"~52.1427496~6.1239489
"84"~2015-08-16~1~"druif"~52.1427496~6.1239489
"85"~2015-10-16~215~"druif"~52.1427496~6.1239489
"86"~2015-10-01~112~"druif"~52.1427496~6.1239489
"87"~2015-09-01~6~"druif"~52.1427496~6.1239489
"88"~2015-08-01~3~"druif"~52.1427496~6.1239489
"89"~2015-08-16~0~"druif"~50.9806017~3.7757107
"93"~2015-09-01~0~"druif"~50.9806017~3.7757107
"136"~2015-08-01~0~"druif"~51.8934112~5.3405404
"153"~2015-09-01~2~"druif"~50.9822188~4.9574748
"154"~2015-09-16~8~"druif"~50.9822188~4.9574748
"155"~2015-08-16~8~"druif"~50.9822188~4.9574748
"156"~2015-10-01~7~"druif"~50.9822188~4.9574748
"158"~2015-07-01~1~"druif"~50.9822188~4.9574748
"159"~2015-10-16~0~"druif"~50.9822188~4.9574748
"160"~2015-08-01~1~"druif"~50.9822188~4.9574748
"161"~2015-10-01~23~"druif"~52.5152156~4.7865493
"162"~2015-09-16~7~"druif"~52.5152156~4.7865493
"163"~2015-08-01~1~"druif"~52.5152156~4.7865493
"164"~2015-07-16~2~"druif"~52.5152156~4.7865493
"165"~2015-07-01~2~"druif"~52.5152156~4.7865493
"166"~2015-10-16~24~"druif"~52.5152156~4.7865493
"167"~2015-08-16~4~"druif"~52.5152156~4.7865493
"168"~2015-09-01~5~"druif"~52.5152156~4.7865493
"193"~2015-07-01~0~"druif"~50.8480835~5.8319147
"194"~2015-09-16~157~"druif"~50.8480835~5.8319147
"196"~2015-10-01~76~"druif"~50.8480835~5.8319147
"197"~2015-08-16~21~"druif"~50.8480835~5.8319147
"198"~2015-09-01~31~"druif"~50.8480835~5.8319147
"199"~2015-08-01~0~"druif"~50.8480835~5.8319147
"203"~2015-09-01~0~"druif"~51.574037~4.8224831
"204"~2015-07-01~0~"druif"~51.574037~4.8224831
"205"~2015-08-01~0~"druif"~51.574037~4.8224831
"206"~2015-07-16~0~"druif"~51.574037~4.8224831
"207"~2015-08-16~0~"druif"~51.574037~4.8224831
"209"~2015-09-01~0~"druif"~53.0432146~7.0053131
"210"~2015-07-01~0~"druif"~53.0432146~7.0053131
"211"~2015-07-16~0~"druif"~53.0432146~7.0053131
"212"~2015-08-16~0~"druif"~53.0432146~7.0053131
"213"~2015-09-16~2~"druif"~53.0432146~7.0053131
"214"~2015-08-01~0~"druif"~53.0432146~7.0053131
"215"~2015-10-01~4~"druif"~53.0432146~7.0053131
"216"~2015-10-16~1~"druif"~53.0432146~7.0053131
"227"~2015-07-01~0~"druif"~52.3429594~5.5123033
"230"~2015-08-01~0~"druif"~52.3429594~5.5123033
"231"~2015-10-01~12~"druif"~52.3429594~5.5123033
"232"~2015-07-16~0~"druif"~52.3429594~5.5123033
"242"~2015-10-01~1~"druif"~51.9894015~6.7701179
"247"~2015-07-16~0~"druif"~51.9894015~6.7701179
"249"~2015-09-16~0~"druif"~51.5700062~6.0039264
"250"~2015-09-01~0~"druif"~51.5700062~6.0039264
"270"~2015-08-01~0~"druif"~52.1970945~6.3463297
"281"~2015-09-01~1~"druif"~51.8882513~5.1710297
"282"~2015-08-01~0~"druif"~51.8882513~5.1710297
"283"~2015-08-16~0~"druif"~51.8882513~5.1710297
"285"~2015-07-01~2~"druif"~51.8882513~5.1710297
"286"~2015-07-16~0~"druif"~51.8882513~5.1710297
"292"~2015-10-01~1~"druif"~52.2469959~6.1251765
"297"~2015-07-01~0~"druif"~52.2036218~6.3304949
"298"~2015-08-16~0~"druif"~52.2036218~6.3304949
"299"~2015-09-16~3~"druif"~52.2036218~6.3304949
"300"~2015-07-16~0~"druif"~52.2036218~6.3304949
"301"~2015-08-01~0~"druif"~52.2036218~6.3304949
"303"~2015-09-01~0~"druif"~52.2036218~6.3304949
"305"~2015-09-16~264~"druif"~50.9187482~4.8273092
"306"~2015-07-16~1~"druif"~50.9187482~4.8273092
"309"~2015-10-01~376~"druif"~50.9187482~4.8273092
"311"~2015-08-01~0~"druif"~50.9187482~4.8273092
"312"~2015-09-01~4~"druif"~50.9187482~4.8273092
"313"~2015-07-01~0~"druif"~51.5900717~4.0202152
"315"~2015-07-16~0~"druif"~51.5900717~4.0202152
"317"~2015-09-01~16~"druif"~51.5900717~4.0202152
"319"~2015-08-16~5~"druif"~51.5900717~4.0202152
"321"~2015-08-16~10~"druif"~51.143791~4.8359115
"322"~2015-08-01~10~"druif"~51.143791~4.8359115
"323"~2015-09-16~5~"druif"~51.143791~4.8359115
"326"~2015-10-01~5~"druif"~51.143791~4.8359115
"327"~2015-07-16~2~"druif"~51.143791~4.8359115
"328"~2015-09-01~10~"druif"~51.143791~4.8359115
"329"~2015-07-01~0~"druif"~51.7735443~5.879043
"330"~2015-08-16~2~"druif"~51.7735443~5.879043
"331"~2015-09-16~8~"druif"~51.7735443~5.879043
"333"~2015-10-01~5~"druif"~51.7735443~5.879043
"335"~2015-09-01~4~"druif"~51.7735443~5.879043
"336"~2015-07-16~1~"druif"~51.7735443~5.879043
"345"~2015-08-16~0~"druif"~51.9777882~6.308493
"346"~2015-08-01~1~"druif"~51.9777882~6.308493
"347"~2015-09-16~37~"druif"~51.9777882~6.308493
"348"~2015-07-01~0~"druif"~51.9777882~6.308493
"350"~2015-09-01~5~"druif"~51.9777882~6.308493
"352"~2015-07-16~0~"druif"~51.9777882~6.308493
"353"~2015-09-16~14~"druif"~52.1969794~6.248194
"355"~2015-09-01~0~"druif"~52.1969794~6.248194
"357"~2015-07-01~0~"druif"~52.1969794~6.248194
"358"~2015-07-16~0~"druif"~52.1969794~6.248194
"366"~2015-08-01~1~"druif"~51.9334628~6.768424
"367"~2015-07-16~0~"druif"~51.9334628~6.768424
"369"~2015-09-16~24~"druif"~51.2799413~6.0625757
"371"~2015-08-16~0~"druif"~51.2799413~6.0625757
"372"~2015-10-01~24~"druif"~51.2799413~6.0625757
"373"~2015-09-01~1~"druif"~51.2799413~6.0625757
"374"~2015-08-01~2~"druif"~51.2799413~6.0625757
"396"~2015-07-16~0~"druif"~53.2280725~6.6056322
"417"~2015-09-01~0~"druif"~53.1636789~6.7520823
"418"~2015-07-01~0~"druif"~53.1636789~6.7520823
"420"~2015-08-01~0~"druif"~53.1636789~6.7520823
"422"~2015-09-16~0~"druif"~53.1636789~6.7520823
"440"~2015-09-01~4~"druif"~51.8869452~6.2996441
"457"~2015-08-16~4~"druif"~50.9406762~5.7695516
"458"~2015-09-01~4~"druif"~50.9406762~5.7695516
"460"~2015-07-01~0~"druif"~50.9406762~5.7695516
