"wijngaard"~"druivenras"~"oe"~"zuur"~"pH"~"oogst"~"bloei"~"rijping"~"lat"~"lon"
"4.15"~"Bilderhof"~"Cabernet Cortis"~"81"~"9,5"~""~"09-10-2013"~""~""~51.7939895~4.7356709
"4.16"~"Bilderhof"~"Cabernet Cortis"~"81"~"9,5"~""~"09-10-2013"~""~""~51.7939895~4.7356709
"4.17"~"Bilderhof"~"Cabernet Cortis"~"81"~"9,5"~""~"09-10-2013"~""~""~51.7939895~4.7356709
"4.18"~"Bilderhof"~"Cabernet Cortis"~"81"~"9,5"~""~"09-10-2013"~""~""~51.7939895~4.7356709
"4.19"~"Bilderhof"~"Cabernet Cortis"~"81"~"9,5"~""~"09-10-2013"~""~""~51.7939895~4.7356709
"4.20"~"Bilderhof"~"Cabernet Cortis"~"81"~"9,5"~""~"09-10-2013"~""~""~51.7939895~4.7356709
"3"~"Bilderhof"~"Regent"~"66"~"10"~""~"17-10-2013"~""~""~51.7939895~4.7356709
"3.1"~"Bilderhof"~"Regent"~"66"~"10"~""~"17-10-2013"~""~""~51.7939895~4.7356709
"3.2"~"Bilderhof"~"Regent"~"66"~"10"~""~"17-10-2013"~""~""~51.7939895~4.7356709
"3.3"~"Bilderhof"~"Regent"~"66"~"10"~""~"17-10-2013"~""~""~51.7939895~4.7356709
"3.4"~"Bilderhof"~"Regent"~"66"~"10"~""~"17-10-2013"~""~""~51.7939895~4.7356709
"3.5"~"Bilderhof"~"Regent"~"66"~"10"~""~"17-10-2013"~""~""~51.7939895~4.7356709
"3.6"~"Bilderhof"~"Regent"~"66"~"10"~""~"17-10-2013"~""~""~51.7939895~4.7356709
"3.7"~"Bilderhof"~"Regent"~"66"~"10"~""~"17-10-2013"~""~""~51.7939895~4.7356709
"3.8"~"Bilderhof"~"Regent"~"66"~"10"~""~"17-10-2013"~""~""~51.7939895~4.7356709
"3.9"~"Bilderhof"~"Regent"~"66"~"10"~""~"17-10-2013"~""~""~51.7939895~4.7356709
"3.10"~"Bilderhof"~"Regent"~"66"~"10"~""~"17-10-2013"~""~""~51.7939895~4.7356709
"3.11"~"Bilderhof"~"Regent"~"66"~"10"~""~"17-10-2013"~""~""~51.7939895~4.7356709
"3.12"~"Bilderhof"~"Regent"~"66"~"10"~""~"17-10-2013"~""~""~51.7939895~4.7356709
"3.13"~"Bilderhof"~"Regent"~"66"~"10"~""~"17-10-2013"~""~""~51.7939895~4.7356709
"3.14"~"Bilderhof"~"Regent"~"66"~"10"~""~"17-10-2013"~""~""~51.7939895~4.7356709
"2"~"Bilderhof"~"Johanniter"~"80"~"11"~""~"19-10-2013"~""~""~51.7939895~4.7356709
