#
# Oogst en bloei/verkleuringsgegevens van de druivenrassen
#    aangeplant bij de Brabantse Wijnbouwers (2006-2015).
#
# BHE
# laatst bijgewerkt op: 22/01/2016
#
druivenras~wijngaard~oe~zuur~pH~oogst~bloei~rijping
Johanniter~De Molenbeek~82~9,2~3,46~12-10-2015~~
Johanniter~De Winhof~86~9,5~~02-10-2015~~
Johanniter~De Locht~86~10,6~3,11~17-10-2015~~
Johanniter~Frank's Domein~82~8,6~2,95~10-10-2014~07-06-2014~
Johanniter~Kornsche Wijngaard~85~9~3,4~4-10-2014~~
Johanniter~Hof van Eynde~65~7,6~3,16~11-10-2014~~
Johanniter~De Vijfhoek~81~8~~6-10-2014~~
Johanniter~De Molenbeek~73~9,1~3,05~18-10-2014~~
Johanniter~Lennisheuvel~84~7,5~3,20~11-10-2014~~
Johanniter~Lamershof~80~8,6~~09-10-2014~~
Johanniter~Kommerdijk~81~8,3~~19-10-2014~~
Johanniter~Clos du Rooster~~~~24-10-2014~~
Johanniter~De Molenhoek~74~14,5~2,8~18-10-2013~~
Johanniter~Frank's Domein~77~12,5~2,9~01-11-2013~05-07-2013~30-08-2013
Johanniter~De Achthoeven~64~15,2~~26-10-2013~06-07-2013~10-08-2013
Johanniter~De Vijfhoek~73~11,2~2,91~12-10-2013~29-06-2014~
Johanniter~Koningbosch~82~9,5~~24-10-2013~~
Johanniter~St. Beer~75~12~2,9~31-10-2013~~
Johanniter~Korevaar~75~12~2,9~31-10-2013~~
Johanniter~Kleine Lei~75~12~2,9~31-10-2013~~
Johanniter~Lennisheuvel~92~9,8~3,14~20-10-2013~~
Johanniter~Kornsche Wijngaard~83~11~~26-10-2013~~
Johanniter~Bilderhof~80~11~~19-10-2013~~
Johanniter~W. Bilderhof(Zeeland)~80~12,5~~25-10-2013~~
Johanniter~De Druiventuin~84~11,5~3,13~22-10-2012~~
Johanniter~De Middelwaert~77~~~30-09-2012~~
Johanniter~St. Beer~75~10~3,2~24-10-2012~~
Johanniter~Lennisheuvel~92~10~3,09~11-10-2012~~
Johanniter~De Achthoeven~82~~~28-10-2012~26-06-2012~
Johanniter~De Oorsprong~80~11,5~~06-10-2012~~
Johanniter~Lamershof~74~10,5~~15-10-2012~~
Johanniter~St. Beer~77~8,7~3,18~03-10-2011~~
Johanniter~De Achthoeven~64~10,3~3,07~02-10-2011~02-06-2011~
Johanniter~De Vijfhoek~73~9~2,92~03-10-2011~~
Johanniter~Peter51~72~7~3,02~26-09-2011~~
Johanniter~St. Beer~71~12~3,05~15-10-2010~~
